clus,pois,latitude,longitude,time,categories
141,Torre_del_Gallo,43.751925,11.25855278,120,torridifirenze;ville
143,Sala_Vanni,43.76835556,11.24341667,277.5454545,basilichedifirenze;teatridifirenze
144,Teatro_estivo_Il_Boschetto,43.77022778,11.22512778,120,teatridifirenze
145,Museo_di_storia_naturale_sezione_di_zoologia_La_Specola;Tribuna_di_Galileo,43.76453056,11.24734167,2221.555556,museidifirenze;architetturedifirenze
146,Ex_monastero_di_Sant'Anna_sul_Prato,43.77588056,11.24226667,1015.266667,chiesedifirenze
147,Monastero_delle_Suore_Domenicane_dello_Spirito_Santo,43.79555833,11.26109722,120,monasteridifirenze
148,Tabernacolo_di_Santa_Maria_della_Tromba;San_Luca_(Giambologna);Chiesa_di_Orsanmichele;San_Matteo_(Ghiberti);San_Jacopo_(Orsanmichele);Quattro_Santi_Coronati_(Nanni_di_Banco);San_Giorgio_(Donatello);San_Pietro_(Brunelleschi);Museo_di_Orsanmichele;San_Marco_(Donatello);San_Filippo_(Nanni_di_Banco);Sant'Eligio_(Nanni_di_Banco);Santo_Stefano_(Ghiberti);Palazzo_dell'Arte_della_Lana;Palazzo_dell'Arte_dei_Beccai,43.77075833,11.25516944,138.7901235,palazzidifirenze;scultureafirenze;scultureafirenze;tabernacolidifirenze;scultureafirenze;scultureafirenze;scultureafirenze;orsanmichele;architetturedifirenze;operedigiambologna;scultureafirenze;scultureafirenze;museidifirenze;scultureafirenze;orsanmichele;scultureafirenze;palazzidifirenze;scultureafirenze
149,Palazzo_Rucellai,43.77129167,11.24952778,516.4583333,palazzidifirenze;architetturedifirenze
151,Teatro_13,43.78504167,11.28595,120,teatridifirenze
153,Villa_Giovannelli,43.756525,11.26028056,120,ville
154,Teatro_Arena_San_Salvi,43.77105833,11.286775,600,teatridifirenze
155,Viale_Fratelli_Rosselli,43.77911111,11.24333333,120,stradedifirenze
156,Via_Taddea,43.77686389,11.254675,379.6,stradedifirenze
157,Piazza_della_Santissima_Annunziata,43.77644722,11.26073333,238.775641,piazzedifirenze
158,Teatro_romano_di_Firenze;Torre_del_Guardingo,43.76926667,11.25729167,138.26,architetturedifirenze;teatridifirenze;torridifirenze
159,Palazzo_Wilson_Gattai,43.77355278,11.26703333,120,palazzidifirenze
